"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"NJY","NUROL PORTFÖY BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","3,8961","17,0277","38,3340","0,1782","59,8789","-","-"
"KPB","KARE PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","2,2407","5,5374","21,9693","0,2441","59,7390","-","-"
"DOS","DENİZ PORTFÖY OLMİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,9542","9,0927","26,4945","0,3932","58,3410","-","-"
"DSP","DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","5,1646","22,7700","41,5598","1,1297","57,8728","146,2393","219,4828"
"ORC","QİNVEST PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","-0,8857","18,4206","54,4310","-1,2193","57,7366","-","-"
"AES","AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-8,0974","-8,3692","-13,6800","-7,7389","57,6541","163,8926","271,7465"
"YZF","YAPI KREDİ PORTFÖY PY ERENKÖY  SERBEST (DÖVIZ) ÖZEL FON","Serbest Şemsiye Fonu","2,2060","11,3430","27,0083","0,5989","57,6062","-","-"
"GZL","GARANTİ PORTFÖY TARIM VE GIDA SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-2,1765","15,4650","30,2159","-1,1789","57,4032","-","-"
"IDD","LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON","Serbest Şemsiye Fonu","2,2419","16,9487","37,3873","-0,0977","57,3231","125,2567","-"
"OYS","OYAK PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON","Serbest Şemsiye Fonu","-1,7215","18,8419","49,1515","-1,6912","57,2935","-","-"
"GZJ","GARANTİ PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,9917","20,3386","31,7627","-0,3357","57,2810","-","-"
"YDP","YAPI KREDİ PORTFÖY PY ÜÇÜNCÜ DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","3,8760","15,1296","29,4882","0,8055","56,3478","120,4085","231,7853"
"DKD","DENİZ PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,9108","6,7404","21,6301","0,2195","56,2667","-","-"
"LHM","AK PORTFÖY NETA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,3338","15,0025","27,0642","0,5151","56,0715","-","-"
"GNK","AZİMUT PORTFÖY SARPAY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,7449","5,9913","21,4231","0,2814","55,8950","-","-"
"IDP","İSTANBUL PORTFÖY DOĞAN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","7,9752","5,9419","-1,0723","0,0292","55,2098","-","-"
"IBC","İŞ PORTFÖY CENOVA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,3614","10,1923","23,8447","0,4831","54,8163","206,0245","-"
"GMV","GARANTİ PORTFÖY OCAK 2026 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","1,7527","10,2554","205.499,8100","0,5325","54,7504","-","-"
"HST","HSBC PORTFÖY  BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","2,4709","7,5410","29,8686","0,7448","54,6701","79,3436","138,3888"
"PSG","AZİMUT PORTFÖY 9.0 SERBEST FON","Serbest Şemsiye Fonu","2,3861","7,4240","23,3176","0,0000","54,5799","-","-"
"IYB","AURA PORTFÖY DEĞİŞKEN FONU","Değişken Şemsiye Fonu","4,6133","22,8953","44,7623","-1,0012","54,5604","102,5670","167,1741"
"YOA","YAPI KREDİ PORTFÖY PY BORÇLANMA ARAÇLARI (DÖVİZ) ÖZEL FONU","Borçlanma Araçları Şemsiye Fonu","0,7961","6,7027","23,2662","0,4525","54,5140","263,2992","536,4019"
"EIB","QİNVEST PORTFÖY DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,5689","14,1550","35,7932","-0,4449","54,4039","142,1948","287,7186"
"NBZ","NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2327","5,8714","18,7554","0,3462","54,1772","-","-"
"DBH","DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,8992","12,9043","30,6922","0,9800","54,1423","239,6633","446,7751"
"TGE","İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-3,1336","2,0657","8,2877","-1,9727","53,8678","272,9787","419,2050"
"ZJH","ZİRAAT PORTFÖY V10 SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,6859","9,0458","23,1571","0,2573","53,8051","-","-"
"TPV","AURA PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,9241","18,3987","37,0720","-1,2720","53,7112","132,9008","202,4739"
"KOP","QİNVEST PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5611","12,7435","25,5816","0,6522","53,4905","42,1684","-"
"GJA","GARANTİ PORTFÖY ONYEDİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,2725","8,5259","24,3455","0,4375","53,2400","-","-"
"KPK","İŞ PORTFÖY DURUSU SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,1521","12,3107","24,7719","0,7799","53,1937","-","-"
"HVV","AK PORTFÖY HERAKLES SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,0433","7,2013","22,2153","0,4386","53,1474","-","-"
"IBB","İŞ PORTFÖY ATAK DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,9718","13,0751","32,4151","1,0696","53,0600","185,4372","-"
"IPO","İŞ PORTFÖY ONUR SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,2790","6,1377","25,7904","0,3133","52,9213","260,1633","-"
"CEY","ROTA PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,1623","5,8862","19,4550","0,2858","52,7572","219,0733","-"
"IMT","İŞ PORTFÖY TOROS SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,0133","7,4082","21,4113","0,4465","52,6415","222,9866","-"
"CTV","İŞ PORTFÖY MHA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,4730","8,5167","22,1593","0,5092","52,6300","-","-"
"DRS","DENİZ PORTFÖY GÜL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,9455","12,1807","27,6611","0,2767","52,5318","-","-"
"GLP","GARANTİ PORTFÖY PRUVA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,7013","10,6074","23,4786","0,4871","52,4458","-","-"
"DCP","DENİZ PORTFÖY CÖMERT SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","4,3925","9,9850","22,6643","0,6146","52,3448","-","-"
"GGP","GARANTİ PORTFÖY ALTINCI SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,4171","9,0868","23,6186","0,2185","52,2740","-","-"
"YJU","YAPI KREDİ PORTFÖY PY ULUDAĞ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,5647","10,9766","25,3960","0,3711","52,2391","-","-"
"DDE","DENİZ PORTFÖY BADE SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","4,5100","15,7472","33,1501","-0,2962","52,2385","255,1764","-"
"AJE","AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON","Serbest Şemsiye Fonu","1,0938","8,6997","23,3959","0,5637","52,2022","205,0104","-"
"DAT","DENİZ PORTFÖY ARMUT SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,1879","8,1574","24,1059","0,3891","52,1849","290,0923","-"
"GGR","GARANTİ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,3710","10,1371","24,2824","0,2726","52,1243","-","-"
"ODS","OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","1,8559","11,2140","27,7022","0,6366","52,0388","234,4198","-"
"GPH","GARANTİ PORTFÖY ONSEKİZİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,1981","7,8058","25,9089","0,1778","51,8729","-","-"
"GAV","GARANTİ PORTFÖY YİRMİİKİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,5185","5,3156","22,2125","0,5364","51,8544","-","-"
"FUP","QNB FİNANS PORTFÖY BAYSAN SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","10,4965","17,0100","31,7801","0,9167","51,8449","309,7020","-"
"ZJT","ZİRAAT PORTFÖY DURU SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,9631","8,3937","22,6422","0,3133","51,7883","-","-"
"GPU","GARANTİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,0603","17,7626","29,0042","-0,0876","51,7360","137,8574","236,5776"
"AJK","AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON","Serbest Şemsiye Fonu","0,7864","4,0896","18,9794","0,2033","51,7244","248,6907","-"
"FFH","QNB FİNANS PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","1,4624","15,7437","30,4320","-0,3733","51,6209","-","-"
"LHP","AK PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,8476","6,2958","21,3689","0,1609","51,5518","-","-"
"IMH","İŞ PORTFÖY ANADOLU HAYAT EMEKLİLİK SERBEST ÖZEL FON","Serbest Şemsiye Fonu","9,3620","14,8286","27,5519","0,5812","51,5477","121,3891","-"
"GAC","GARANTİ PORTFÖY YİRMİBİRİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,3382","5,8867","22,5537","1,5653","51,5266","-","-"
"DZG","DENİZ PORTFÖY ZB SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,4199","5,0521","23,8051","0,2153","51,5166","-","-"
"GJE","GARANTİ PORTFÖY ECZ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,0760","6,5898","21,2609","0,2415","51,4248","-","-"
"DAI","DENİZ PORTFÖY ARTI SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,7438","10,3194","24,7857","0,1987","51,4173","265,5098","-"
"DPG","DENİZ PORTFÖY REYHAN SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,2787","8,1374","23,0248","0,1931","51,4080","270,5891","-"
"KFK","AZİMUT PORTFÖY KAAN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,1464","13,0680","23,8282","0,0000","51,3783","-","-"
"AJN","AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON","Serbest Şemsiye Fonu","0,7951","3,9191","18,5919","0,1594","51,2805","254,1251","-"
"UPS","ÜNLÜ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,6177","5,5752","20,8343","0,3344","51,2589","250,2122","-"
"DTR","DENİZ PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,6847","4,7758","22,9467","0,2316","51,2325","-","-"
"GZH","GARANTİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-6,6804","10,6981","43,4297","-0,1048","51,0895","-","-"
"YJA","YAPI KREDİ PORTFÖY PY ALSANCAK SERBEST ( DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,5259","8,1110","22,2762","0,2735","51,0840","-","-"
"IJE","İŞ PORTFÖY EFON SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,0173","7,2913","21,2907","0,4506","51,0627","-","-"
"NRM","NEO PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,2240","13,1603","44,8559","0,0000","51,0550","-","-"
"GZG","GARANTİ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,2594","20,1824","30,3854","-0,2494","50,9052","-","-"
"DSC","DENİZ PORTFÖY RÜ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,8670","7,4143","22,4544","0,2181","50,8616","-","-"
"IZE","İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,7077","6,5428","23,6326","0,4319","50,8394","-","-"
"GSG","AZİMUT PORTFÖY GÜREL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,6099","14,5216","26,0722","0,0000","50,7279","239,0855","-"
"YOT","YAPI KREDİ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,8001","9,0756","22,9804","0,6205","50,6873","92,2261","171,1479"
"YRF","YAPI KREDİ PORTFÖY ODEABANK İKİNCİ SERBEST(DÖVİZ)ÖZEL FON","Serbest Şemsiye Fonu","1,0526","5,3944","19,8865","0,0000","50,6870","215,7861","-"
"YJY","YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,8171","3,3991","18,5799","0,2268","50,6026","-","-"
"HPD","HSBC PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","1,9279","14,0809","33,2605","0,0729","50,4362","157,2578","255,7788"
"YPL","YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,9324","4,1275","18,3009","0,2057","50,4210","245,2829","-"
"GAS","GARANTİ PORTFÖY ÜÇÜNCÜ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","1,2650","6,5338","20,6178","0,2041","50,2702","237,8568","-"
"CJF","AK PORTFÖY ADOC SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,0539","7,8496","22,6130","0,5245","50,2502","-","-"
"DZM","DENİZ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,7411","8,1088","22,3357","0,3738","50,2140","-","-"
"STS","STRATEJİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,5412","7,1117","20,5775","0,2555","50,1291","252,5100","-"
"GMG","GARANTİ PORTFÖY MART 2024 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","0,7473","5,3091","21,9898","0,2090","50,1275","-","-"
"OPP","GARANTİ PORTFÖY ÖPY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,7432","6,6550","22,6643","0,3737","50,0347","-","-"
"KSY","YAPI KREDİ PORTFÖY PY KANDİLLİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,6150","14,9130","30,1396","0,4947","49,9839","125,8548","-"
"MKG","MÜKAFAT PORTFÖY ALTIN KATILIM FONU","Kıymetli Madenler Şemsiye Fonu","5,1750","11,5370","19,0356","2,2266","49,9469","-","-"
"OJY","QNB FİNANS PORTFÖY YALÇIN SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","9,5564","17,7832","32,4829","0,6542","49,9205","-","-"
"OJK","QNB FİNANS PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","4,8586","9,9810","18,6672","2,2807","49,9030","-","-"
"DPZ","DENİZ PORTFÖY YAZ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,9567","9,2480","23,4569","0,1348","49,8928","244,7257","-"
"FDO","QNB FİNANS PORTFÖY SULTAN SERBEST(DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,4706","7,3653","22,0123","0,0000","49,8715","-","-"
"IJM","İŞ PORTFÖY YAĞMUR SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,7325","12,2249","29,2558","1,6565","49,8134","-","-"
"ANZ","ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,9472","6,9022","19,7258","0,3493","49,7951","235,3474","466,8917"
"TPJ","TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,6706","5,1476","20,9171","0,3843","49,7614","236,8630","-"
"SBS","STRATEJİ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,5079","7,7553","21,7877","0,2943","49,7337","255,4913","-"
"TPE","İŞ PORTFÖY PY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) ÖZEL FONU","Borçlanma Araçları Şemsiye Fonu","1,0506","4,4333","18,5198","0,2549","49,6625","255,0021","523,0328"
"CTF","İŞ PORTFÖY ASSG SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,7193","4,9530","18,6480","0,3855","49,6050","-","-"
"GJO","GARANTİ PORTFÖY ONALTINCI SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,5756","4,1240","20,9077","0,3872","49,5880","-","-"
"GAG","INVEO PORTFÖY BİRİNCİ SERBEST (DÖVIZ)  FON","Serbest Şemsiye Fonu","1,2597","6,1539","19,5357","0,1127","49,5738","236,3381","-"
"OJA","QNB FİNANS PORTFÖY ALTINCI SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,1511","6,1263","21,3440","0,1218","49,5577","-","-"
"CTP","İŞ PORTFÖY AAF SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,0944","7,0810","22,0587","0,4949","49,5304","-","-"
"IDF","İŞ PORTFÖY SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,8252","3,8670","17,4605","0,2613","49,5093","241,3414","-"
"HDB","HSBC PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,2570","6,6398","21,7505","0,3397","49,4606","239,7315","-"
"OUD","OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,8579","10,3367","22,9524","0,6643","49,4476","-","-"
"HII","HSBC PYŞ BİRİNCİ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,6630","7,4250","21,2298","0,3881","49,4309","-","-"
"HNN","GARANTİ PORTFÖY OCAK 2023 SERBEST(DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","0,9912","2,8548","16,8122","0,2270","49,3374","-","-"
"IPG","İŞ PORTFÖY ATAK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,9165","13,6421","35,1085","0,7116","49,2901","94,9076","123,9798"
"ZZL","ZİRAAT PORTFÖY BDR SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,5241","12,4922","29,0158","0,7718","49,2827","-","-"
"GAJ","GARANTİ PORTFÖY YİRMİÜÇÜNCÜ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,8368","2,5003","16,2260","0,3135","49,2783","-","-"
"FPZ","QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,7317","5,3600","21,2961","0,3765","49,2205","232,1536","-"
"GJF","GARANTİ PORTFÖY BEREKET SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,5946","6,3598","19,9278","0,2344","49,0736","-","-"
"SRY","AZİMUT PORTFÖY SKY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,2673","3,8158","17,0461","0,0000","49,0548","563,6771","-"
"CJD","AK PORTFÖY SEKİZİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,8400","2,3338","15,7720","0,1441","49,0326","-","-"
"ZLG","AK PORTFÖY MARAL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,3632","11,1932","28,1742","0,7010","49,0322","-","-"
"KZL","KT PORTFÖY KIZILAY'A DESTEK ALTIN KATILIM FONU","Katılım Şemsiye Fonu","5,0902","11,7452","17,2064","2,4865","49,0193","260,3235","-"
"GZD","GARANTİ PORTFÖY ONÜCÜNCÜ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,0261","3,1294","15,9704","0,1900","48,9985","-","-"
"IMY","İŞ PORTFÖY SKYLARK SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,9787","3,3148","16,7230","0,2190","48,9668","233,7997","-"
"FFO","QNB FİNANS PORTFÖY SER SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,9925","6,8071","20,8131","0,0000","48,9138","238,8769","-"
"DPL","DENİZ PORTFÖY NİL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,9530","9,9624","24,1725","0,1586","48,8857","305,9995","-"
"OZF","QNB FİNANS PORTFÖY SEKİZİNCİ SERBEST(DÖVİZ) FON","Serbest Şemsiye Fonu","0,6995","5,2919","21,1873","0,1369","48,8833","-","-"
"SJP","STRATEJİ PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,4266","9,2160","21,5318","0,2979","48,8661","-","-"
"BJD","AZİMUT PORTFÖY 13.0 SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,0773","2,3415","15,3693","0,1739","48,8351","-","-"
"OJU","QNB FİNANS PORTFÖY UFUK SERBEST (DÖVİZ) ÖZEL  FON","Serbest Şemsiye Fonu","2,2561","10,2147","26,5726","0,3757","48,8142","-","-"
"FJC","FİBA PORTFÖY MELTEM ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,0998","2,5312","15,0038","0,1676","48,7853","-","-"
"TCA","ZİRAAT PORTFÖY ALTIN KATILIM FONU","Katılım Şemsiye Fonu","4,2526","10,3623","17,4267","2,3059","48,7318","277,6266","579,8361"
"YAC","YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,2064","17,5764","34,1400","0,4674","48,6610","194,2666","-"
"PUD","AK PORTFÖY AKY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,0912","13,3759","28,7650","1,0010","48,6131","274,5101","-"
"DBA","DENİZ PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","4,3565","10,5265","17,3991","2,3101","48,5679","266,9765","545,3226"
"INH","GARANTİ PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","3,0303","17,8350","29,4226","-0,0740","48,5622","129,9869","-"
"TDP","TEB PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,8534","2,4422","14,3839","0,1703","48,4789","235,3795","-"
"YDZ","YAPI KREDİ PORTFÖY ODEABANK DÖRDÜNCÜ SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,7629","2,6537","16,1428","0,0000","48,4507","-","-"
"UAP","ÜNLÜ PORTFÖY ALTINCI SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,4412","16,1867","25,5570","0,5674","48,4444","-","-"
"AFO","AK PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","4,3603","10,2103","17,3464","2,1821","48,4218","271,7509","559,3053"
"AHN","ATLAS PORTFÖY SERBEST(DÖVİZ)FON","Serbest Şemsiye Fonu","2,5336","7,5876","19,9567","0,4000","48,3555","242,7470","-"
"IPV","İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","1,0315","5,1258","18,9736","0,3330","48,3395","244,0405","484,5698"
"DPN","DENİZ PORTFÖY NEVA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,3395","7,2845","22,3000","0,1744","48,2180","266,7714","-"
"IUU","İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,6999","2,4960","16,3121","0,0000","48,1716","-","-"
"GMJ","GARANTİ PORTFÖY MART 2023 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","0,8512","2,7513","17,4314","0,2774","48,1548","-","-"
"IBD","İŞ PORTFÖY BAYRAKTARLAR HOLDİNG DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","0,8887","9,0210","24,2683","0,6693","48,1299","245,8582","489,7454"
"TPL","TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","0,4363","4,3887","20,3307","0,3588","48,0932","213,0136","421,3097"
"IJH","ICBC TURKEY PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,4718","17,8518","30,2984","0,7554","48,0899","-","-"
"GSE","AZİMUT PORTFÖY 7.0 SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","0,8691","2,8581","15,6986","0,0000","48,0636","241,9047","-"
"DNL","DENİZ PORTFÖY NEKO SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,8599","1,8388","15,1879","0,0993","47,9860","-","-"
"IGF","İŞ PORTFÖY GÜZEL SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","1,3559","6,6831","21,0280","0,3105","47,8698","-","-"
"KRT","KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON","Serbest Şemsiye Fonu","1,5504","6,0693","20,5078","0,3637","47,8693","241,9194","-"
"DPC","DENİZ PORTFÖY FRS SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,8702","11,1070","23,7174","0,4144","47,8671","259,0083","-"
"YBP","YAPI KREDİ PORTFÖY PY BİRİNCİ DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","0,8228","9,9769","26,0727","0,5172","47,8529","121,9530","256,5921"
"CJG","AK PORTFÖY SDSD SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,8666","3,5557","16,1908","0,1099","47,7936","-","-"
"DNO","DENİZ PORTFÖY NECLA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,1958","9,1728","20,7981","0,2714","47,7592","-","-"
"SPE","AZIMUT PORTFÖY 5.0 SERBEST (DÖVIZ) FON","Serbest Şemsiye Fonu","2,1910","8,1028","21,7268","0,0000","47,6857","275,6402","-"
"OTK","OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","2,3510","10,5273","26,7971","-0,5848","47,6811","103,8974","181,0661"
"DTV","DENİZ PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,9518","11,0390","26,0810","0,3844","47,6054","-","-"
