"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ARL","AK PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"APJ","AK PORTFÖY DÖRDÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","-"
"GUM","AK PORTFÖY GÜMÜŞ FON SEPETI FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","-","-"
"ARM","AK PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
"ARF","AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON","Serbest Şemsiye Fonu","-","0,0000","0,0000","-","0,0000","0,0000","0,0000"
"ODV","AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","-"
"MJG","AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","-","-"
"HFF","GARANTİ PORTFÖY NİSAN 2022 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","-","-","-","-","0,0000","-","-"
"GJP","GARANTİ PORTFÖY ONBEŞİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-","-","-","-","0,0000","-","-"
"GGZ","GARANTİ PORTFÖY ONBİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","0,0000","-","-"
"HAG","GARANTİ PORTFÖY 2022 SERBEST (DÖVİZ-ABD DOLARI) FON","Serbest Şemsiye Fonu","-","-","0,0000","-","0,0000","-","-"
"FFP","QNB FİNANS PORTFÖY FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","-","-"
"TPC","TEB PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","-"
"TJI","TEB PORTFÖY İKİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","-","-"
"TJF","TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,0000","0,0000","0,0000","0,0000","0,0000","-","-"
"YHP","YAPI KREDİ PORTFÖY PY PARA PİYASASI ÖZEL FONU","Para Piyasası Şemsiye Fonu","0,0000","0,0000","0,0000","-","0,0000","-","-"
